LO
4
4
20
12
12
13
54
48
32
14
10
17
4
15
30
24
27
57
124
104
70
24
23
34
26
34
55
30
35
54
39
72
77
88
126
73
109
125
103
44
74
168
200
169
129
188
183
96
108
105
90
66
35
78
12
67
40
53
